Town,Forecast Day,Current time,Date,High temp,Low temp,Wind,Humidity
sofia,Wed.,2023-06-14 20:27:42,14.06.23,23,13,3 m/s,54
sofia,Thu.,2023-06-14 20:27:42,15.06.23,21,13,2 m/s,91
sofia,Fri.,2023-06-14 20:27:42,16.06.23,20,14,1 m/s,95
sofia,Sat.,2023-06-14 20:27:42,17.06.23,18,13,3 m/s,94
sofia,Sun.,2023-06-14 20:27:42,18.06.23,20,13,3 m/s,98
sofia,Mon.,2023-06-14 20:27:42,19.06.23,25,13,4 m/s,80
sofia,Tue.,2023-06-14 20:27:42,20.06.23,24,15,4 m/s,64
sofia,Wed.,2023-06-14 20:27:42,21.06.23,25,15,3 m/s,61
sofia,Thu.,2023-06-14 20:27:42,22.06.23,24,16,3 m/s,61
sofia,Fri.,2023-06-14 20:27:42,23.06.23,27,15,3 m/s,54
